
Begin Step 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0
Begin Step 235, Time: 0.4264, Redshift: 1.34521, Systemstep: 0.000997331, Dloga: 0.00234169

Begin Step 236, Time: 0.4274, Redshift: 1.33973, Systemstep: 0.000999669, Dloga: 0.00234169

Begin Step 237, Time: 0.428402, Redshift: 1.33426, Systemstep: 0.00100201, Dloga: 0.00234169

Begin Step 238, Time: 0.429406, Redshift: 1.3288, Systemstep: 0.00100436, Dloga: 0.00234169

Begin Step 239, Time: 0.430413, Redshift: 1.32335, Systemstep: 0.00100672, Dloga: 0.00234169

Begin Step 240, Time: 0.431422, Redshift: 1.31792, Systemstep: 0.00100908, Dloga: 0.00234169

Begin Step 241, Time: 0.432434, Redshift: 1.31249, Systemstep: 0.00101144, Dloga: 0.00234169

Begin Step 242, Time: 0.433447, Redshift: 1.30709, Systemstep: 0.00101381, Dloga: 0.00234169

Begin Step 243, Time: 0.434464, Redshift: 1.30169, Systemstep: 0.00101619, Dloga: 0.00234169

Begin Step 244, Time: 0.435482, Redshift: 1.29631, Systemstep: 0.00101857, Dloga: 0.00234169

Begin Step 245, Time: 0.436503, Redshift: 1.29093, Systemstep: 0.00102096, Dloga: 0.00234169

Begin Step 246, Time: 0.437526, Redshift: 1.28558, Systemstep: 0.00102335, Dloga: 0.00234169

Begin Step 247, Time: 0.438552, Redshift: 1.28023, Systemstep: 0.00102575, Dloga: 0.00234169

Begin Step 248, Time: 0.43958, Redshift: 1.2749, Systemstep: 0.00102816, Dloga: 0.00234169

Begin Step 249, Time: 0.440611, Redshift: 1.26958, Systemstep: 0.00103057, Dloga: 0.00234169

Begin Step 250, Time: 0.441644, Redshift: 1.26427, Systemstep: 0.00103299, Dloga: 0.00234169

Begin Step 251, Time: 0.442679, Redshift: 1.25897, Systemstep: 0.00103541, Dloga: 0.00234169

Begin Step 252, Time: 0.443717, Redshift: 1.25369, Systemstep: 0.00103783, Dloga: 0.00234169

Begin Step 253, Time: 0.444757, Redshift: 1.24842, Systemstep: 0.00104027, Dloga: 0.00234169

Begin Step 254, Time: 0.4458, Redshift: 1.24316, Systemstep: 0.00104271, Dloga: 0.00234169

